"","id","CS","SB","ELO","Season","FIX ME","Name"
"159","krukm001",16,21,1077.99975065784,1979,NA,"Mike Krukow"
"160","kucej101",0,1,989.896747021501,1979,NA,"Jack Kucek"
"161","laceb001",1,5,986.203130307315,1979,NA,"Bob Lacey"
"162","lacof001",0,6,946.354475827441,1979,NA,"Frank LaCorte"
"163","lacom001",13,16,1066.05433908375,1979,NA,"Mike LaCoss"
"164","laddp001",0,1,986.197675081533,1979,NA,"Pete Ladd"
"165","lagrl101",2,11,959.463569965799,1979,NA,"Lerrin LaGrow"
"166","lampd001",12,17,1086.4459065792,1979,NA,"Dennis Lamp"
"167","langr001",10,8,1089.19837613997,1979,NA,"Rick Langford"
"168","larod101",0,9,940.185241112445,1979,NA,"Dave LaRoche"
"169","larsd101",0,1,986.364284991338,1979,NA,"Dan Larson"
"170","laveg001",6,13,1018.4608535911,1979,NA,"Gary Lavelle"
"171","lee-b101",5,13,972.436956129161,1979,NA,"Bill Lee"
"172","lee-m101",1,4,1003.37682836465,1979,NA,"Mark Lee"
"173","leibc001",0,1,993.311560676747,1979,NA,"Charlie Leibrandt"
"174","lemad101",9,10,1080.00134528377,1979,NA,"Dave Lemanczyk"
"175","lemom101",4,11,994.344634996225,1979,NA,"Mark Lemongello"
"176","leond001",11,8,1110.87684240774,1979,NA,"Dennis Leonard"
"177","lercr001",9,20,978.006223347181,1979,NA,"Randy Lerch"
"178","lewij001",1,0,1019.90446844268,1979,NA,"Jim Lewis"
"179","littm101",0,7,974.792700630889,1979,NA,"Mark Littell"
"180","locks101",4,1,1050.2896241851,1979,NA,"Skip Lockwood"
"181","lolim101",2,1,1029.47972619989,1979,NA,"Mickey Lolich"
"182","lopea001",5,7,1005.23824677132,1979,NA,"Aurelio Lopez"
"183","lyles101",2,1,1057.59688478151,1979,NA,"Sparky Lyle"
"184","mahlm001",2,8,974.007275149575,1979,NA,"Mickey Mahler"
"185","mahlr001",1,1,1015.02472526925,1979,NA,"Rick Mahler"
"186","marsm101",3,7,987.711541695956,1979,NA,"Mike Marshall"
"187","martd001",11,31,964.67930376125,1979,NA,"Dennis Martinez"
"188","martr001",0,1,995.554412686059,1979,NA,"Renie Martin"
"189","marts101",6,29,942.734747206807,1979,NA,"Silvio Martinez"
"190","martt001",5,2,1078.75302995777,1979,NA,"Tippy Martinez"
"191","matlj101",2,7,987.818558062747,1979,NA,"Jon Matlack"
"192","matur101",7,22,958.905322889488,1979,NA,"Rick Matula"
"193","may-r101",5,10,1010.34017655617,1979,NA,"Rudy May"
"194","mccas001",20,24,1056.81733561115,1979,NA,"Steve McCatty"
"195","mcclb001",1,2,997.941123975415,1979,NA,"Bob McClure"
"196","mcenw101",2,2,1031.67859855668,1979,NA,"Will McEnaney"
"197","mcgll101",8,13,1052.7292767432,1979,NA,"Lynn McGlothen"
"198","mcgrs001",1,7,977.889858493768,1979,NA,"Scott McGregor"
"199","mcgrt001",2,4,1041.01646238959,1979,NA,"Tug McGraw"
"200","mclab101",2,10,967.974415657369,1979,NA,"Bo McLaughlin"
"201","mclab102",5,9,1022.83723000136,1979,NA,"Byron McLaughlin"
"202","mclaj001",1,7,969.69869079962,1979,NA,"Joey McLaughlin"
"203","mcwil001",3,4,1024.94389662442,1979,NA,"Larry McWilliams"
"204","medid101",6,8,1006.46429931673,1979,NA,"Doc Medich"
"205","messa101",2,3,1001.25396843541,1979,NA,"Andy Messersmith"
"206","milld101",2,5,986.812417937652,1979,NA,"Dyar Miller"
"207","minec101",3,9,990.799416570898,1979,NA,"Craig Minetto"
"208","mings101",1,1,1009.60351207683,1979,NA,"Steve Mingori"
"209","mintg001",4,4,1020.45254274864,1979,NA,"Greg Minton"
"210","mitcp101",4,19,948.318475089732,1979,NA,"Paul Mitchell"
"211","moffr101",0,1,986.928432579672,1979,NA,"Randy Moffitt"
"212","mongs001",2,11,946.703202403137,1979,NA,"Sid Monge"
"213","montj001",7,15,977.758975955199,1979,NA,"John Montefusco"
"214","montj101",7,7,1078.90469966034,1979,NA,"John Montague"
"215","moorb101",1,4,1010.49616199295,1979,NA,"Balor Moore"
"216","moord001",0,4,963.109447796233,1979,NA,"Donnie Moore"
"217","morgm001",2,6,997.499165139238,1979,NA,"Mike Morgan"
"218","morrj001",4,14,950.585033760064,1979,NA,"Jack Morris"
"219","moskp101",2,5,1013.11897185823,1979,NA,"Paul Moskau"
"220","muras001",3,11,971.358041198915,1979,NA,"Steve Mura"
"221","murpt101",0,1,972.937073473774,1979,NA,"Tom Murphy"
"222","murrd001",6,7,1051.32999797643,1979,NA,"Dale Murray"
"223","nastp101",6,8,1042.43809929539,1979,NA,"Phil Nastu"
"224","niekj001",9,31,936.157087864032,1979,NA,"Joe Niekro"
"225","niekp001",11,39,985.094509531656,1979,NA,"Phil Niekro"
"226","niemr001",1,6,975.16656311719,1979,NA,"Randy Niemann"
"227","noled001",2,4,1008.23495468762,1979,NA,"Dickie Noles"
"228","normf101",7,13,993.264768658257,1979,NA,"Fred Norman"
"229","norrm101",10,10,1073.11898785023,1979,NA,"Mike Norris"
"230","orosj001",4,1,1044.20704080193,1979,NA,"Jesse Orosco"
"231","owchb001",7,5,1135.27537126889,1979,NA,"Bob Owchinko"
"232","pacej001",0,4,968.827977675868,1979,NA,"John Pacella"
"233","palmd001",2,7,971.195528945052,1979,NA,"David Palmer"
"234","palmj001",4,6,1033.61947080606,1979,NA,"Jim Palmer"
"235","parrm101",4,34,854.002132266011,1979,NA,"Mike Parrott"
"236","pastf001",0,8,933.462897914822,1979,NA,"Frank Pastore"
"237","pattd101",5,3,1055.10105049639,1979,NA,"Dave Patterson"
"238","pattm101",3,5,1022.382409307,1979,NA,"Marty Pattin"
"239","paxtm101",2,22,928.007924710214,1979,NA,"Mike Paxton"
"240","perrg101",13,20,1039.43099450326,1979,NA,"Gaylord Perry"
"241","petrd001",9,7,1064.08891293603,1979,NA,"Dan Petry"
"242","prolm101",2,7,1003.26199671304,1979,NA,"Mike Proly"
"243","quisd001",1,0,1018.5974652214,1979,NA,"Dan Quisenberry"
"244","rainc001",2,3,1021.754083656,1979,NA,"Chuck Rainey"
"245","rajsd101",4,5,1011.31686013115,1979,NA,"Dave Rajsich"
"246","rasme101",2,8,961.902058713886,1979,NA,"Eric Rasmussen"
"247","rau-d101",6,3,1131.24620887025,1979,NA,"Doug Rau"
"248","rautl101",1,2,996.444673136823,1979,NA,"Lance Rautzhan"
"249","rawls001",0,9,936.940689963453,1979,NA,"Shane Rawley"
"250","rearj001",0,1,992.684559465038,1979,NA,"Jeff Reardon"
"251","redfp101",5,5,1044.67313198988,1979,NA,"Pete Redfern"
"252","reedr001",3,8,1002.43545950993,1979,NA,"Ron Reed"
"253","remmw101",0,1,987.896127965947,1979,NA,"Win Remmerswaal"
"254","renks101",6,17,1008.11127218418,1979,NA,"Steve Renko"
"255","repla101",0,1,978.316740159285,1979,NA,"Andy Replogle"
"256","reusj001",5,5,1054.16450224899,1979,NA,"Jerry Reuss"
"257","reusp101",0,2,989.047610529581,1979,NA,"Paul Reuschel"
"258","reusr001",7,15,1042.07866323615,1979,NA,"Rick Reuschel"
"259","riccf101",4,4,1042.54022140996,1979,NA,"Frank Riccelli"
"260","richj101",10,28,965.257404410943,1979,NA,"J.R. Richard"
"261","righd001",2,5,1002.12511942531,1979,NA,"Dave Righetti"
"262","ripla101",1,5,987.678281549039,1979,NA,"Allen Ripley"
"263","robbb101",2,0,1032.66088804933,1979,NA,"Bruce Robbins"
"264","robeb001",5,3,1068.96218708838,1979,NA,"Bert Roberge"
"265","robed101",0,3,994.076436866991,1979,NA,"Dave Roberts"
"266","robid001",8,6,1106.22268227682,1979,NA,"Don Robinson"
"267","robid101",1,2,992.532998989603,1979,NA,"Dewey Robinson"
"268","rodre102",7,2,1078.85699930303,1979,NA,"Eduardo Rodriguez"
"269","roges001",13,27,1021.40376456409,1979,NA,"Steve Rogers"
"270","romoe101",10,9,1086.29750438856,1979,NA,"Enrique Romo"
"271","rookj101",4,6,1027.58962824777,1979,NA,"Jim Rooker"
"272","rozed001",6,1,1131.1229438208,1979,NA,"Dave Rozema"
"273","ruhlv001",1,3,986.392835122881,1979,NA,"Vern Ruhle"
"274","ruthd001",5,14,994.117488789835,1979,NA,"Dick Ruthven"
"275","ryann001",9,19,998.440109149725,1979,NA,"Nolan Ryan"
"276","sambj001",2,7,998.90958890253,1979,NA,"Joe Sambito"
"277","sands001",9,17,989.92083000796,1979,NA,"Scott Sanderson"
"278","sarmm101",2,5,977.389918821176,1979,NA,"Manny Sarmiento"
"279","sauck101",1,3,989.495617298376,1979,NA,"Kevin Saucier"
"280","scarr101",4,12,996.641884482103,1979,NA,"Randy Scarbery"
"281","schad001",3,6,999.286299380994,1979,NA,"Dan Schatzeder"
"282","schub104",2,4,961.995949197832,1979,NA,"Buddy Schultz"
"283","schur101",1,3,978.54587741185,1979,NA,"Ron Schueler"
"284","scotm001",5,5,1049.02736915017,1979,NA,"Mike Scott"
"285","seavt001",14,26,1065.96000926576,1979,NA,"Tom Seaver"
"286","serug101",3,4,1014.0452028961,1979,NA,"Gary Serum"
"287","shirb001",11,8,1112.27472738353,1979,NA,"Bob Shirley"
"288","skokc101",3,2,1035.64341905848,1979,NA,"Craig Skok"
